Date of analysis,Country,Total country population,Level 1,Area,Validity period,From,To,Phase,Number,Percentage
Mar 2026,SSD,14203031,Jonglei,Akobo,first projection,2026-04-01,2026-07-31,4,85662,0.35
Mar 2026,SSD,14203031,Jonglei,Akobo,first projection,2026-04-01,2026-07-31,5,12237,0.05
Mar 2026,SSD,14203031,Jonglei,Akobo,second projection,2026-04-01,2026-07-31,all,244749,1.0
Mar 2026,SSD,14203031,Jonglei,Akobo,second projection,2026-04-01,2026-07-31,3+,195799,0.8
Mar 2026,SSD,14203031,Jonglei,Akobo,second projection,2026-04-01,2026-07-31,1,12237,0.05
Mar 2026,SSD,14203031,Jonglei,Akobo,second projection,2026-04-01,2026-07-31,2,36712,0.15
Mar 2026,SSD,14203031,Jonglei,Akobo,second projection,2026-04-01,2026-07-31,3,97900,0.4
Mar 2026,SSD,14203031,Jonglei,Akobo,second projection,2026-04-01,2026-07-31,4,85662,0.35
Mar 2026,SSD,14203031,Jonglei,Akobo,second projection,2026-04-01,2026-07-31,5,12237,0.05
Mar 2026,SSD,14203031,Jonglei,Ayod,first projection,2026-04-01,2026-07-31,all,207210,1.0
Mar 2026,SSD,14203031,Jonglei,Ayod,first projection,2026-04-01,2026-07-31,3+,134686,0.65
Mar 2026,SSD,14203031,Jonglei,Ayod,first projection,2026-04-01,2026-07-31,1,20721,0.1
Mar 2026,SSD,14203031,Jonglei,Ayod,first projection,2026-04-01,2026-07-31,2,51803,0.25
Mar 2026,SSD,14203031,Jonglei,Ayod,first projection,2026-04-01,2026-07-31,3,72524,0.35
Mar 2026,SSD,14203031,Jonglei,Ayod,first projection,2026-04-01,2026-07-31,4,62163,0.3
Mar 2026,SSD,14203031,Jonglei,Ayod,first projection,2026-04-01,2026-07-31,5,0,0
Mar 2026,SSD,14203031,Jonglei,Ayod,second projection,2026-04-01,2026-07-31,all,207210,1.0
Mar 2026,SSD,14203031,Jonglei,Ayod,second projection,2026-04-01,2026-07-31,3+,134686,0.65
Mar 2026,SSD,14203031,Jonglei,Ayod,second projection,2026-04-01,2026-07-31,1,20721,0.1
Mar 2026,SSD,14203031,Jonglei,Ayod,second projection,2026-04-01,2026-07-31,2,51803,0.25
Mar 2026,SSD,14203031,Jonglei,Ayod,second projection,2026-04-01,2026-07-31,3,72524,0.35
Mar 2026,SSD,14203031,Jonglei,Ayod,second projection,2026-04-01,2026-07-31,4,62163,0.3
Mar 2026,SSD,14203031,Jonglei,Ayod,second projection,2026-04-01,2026-07-31,5,0,0
Mar 2026,SSD,14203031,Jonglei,Nyirol,first projection,2026-04-01,2026-07-31,all,151386,1.0
Mar 2026,SSD,14203031,Jonglei,Nyirol,first projection,2026-04-01,2026-07-31,3+,128678,0.85
Mar 2026,SSD,14203031,Jonglei,Nyirol,first projection,2026-04-01,2026-07-31,1,7569,0.05
Mar 2026,SSD,14203031,Jonglei,Nyirol,first projection,2026-04-01,2026-07-31,2,15139,0.1
Mar 2026,SSD,14203031,Jonglei,Nyirol,first projection,2026-04-01,2026-07-31,3,60554,0.4
Mar 2026,SSD,14203031,Jonglei,Nyirol,first projection,2026-04-01,2026-07-31,4,52985,0.35
Mar 2026,SSD,14203031,Jonglei,Nyirol,first projection,2026-04-01,2026-07-31,5,15139,0.1
Mar 2026,SSD,14203031,Jonglei,Nyirol,second projection,2026-04-01,2026-07-31,all,151386,1.0
Mar 2026,SSD,14203031,Jonglei,Nyirol,second projection,2026-04-01,2026-07-31,3+,128678,0.85
Mar 2026,SSD,14203031,Jonglei,Nyirol,second projection,2026-04-01,2026-07-31,1,7569,0.05
Mar 2026,SSD,14203031,Jonglei,Nyirol,second projection,2026-04-01,2026-07-31,2,15139,0.1
Mar 2026,SSD,14203031,Jonglei,Nyirol,second projection,2026-04-01,2026-07-31,3,60554,0.4
Mar 2026,SSD,14203031,Jonglei,Nyirol,second projection,2026-04-01,2026-07-31,4,52985,0.35
Mar 2026,SSD,14203031,Jonglei,Nyirol,second projection,2026-04-01,2026-07-31,5,15139,0.1
Mar 2026,SSD,14203031,Jonglei,Pibor,first projection,2026-04-01,2026-07-31,all,242329,1.0
Mar 2026,SSD,14203031,Jonglei,Pibor,first projection,2026-04-01,2026-07-31,3+,157514,0.65
Mar 2026,SSD,14203031,Jonglei,Pibor,first projection,2026-04-01,2026-07-31,1,36349,0.15
Mar 2026,SSD,14203031,Jonglei,Pibor,first projection,2026-04-01,2026-07-31,2,48466,0.2
Mar 2026,SSD,14203031,Jonglei,Pibor,first projection,2026-04-01,2026-07-31,3,72699,0.3
Mar 2026,SSD,14203031,Jonglei,Pibor,first projection,2026-04-01,2026-07-31,4,84815,0.35
Mar 2026,SSD,14203031,Jonglei,Pibor,first projection,2026-04-01,2026-07-31,5,0,0
Mar 2026,SSD,14203031,Jonglei,Pibor,second projection,2026-04-01,2026-07-31,all,242329,1.0
Mar 2026,SSD,14203031,Jonglei,Pibor,second projection,2026-04-01,2026-07-31,3+,157514,0.65
Mar 2026,SSD,14203031,Jonglei,Pibor,second projection,2026-04-01,2026-07-31,1,36349,0.15
Mar 2026,SSD,14203031,Jonglei,Pibor,second projection,2026-04-01,2026-07-31,2,48466,0.2
Mar 2026,SSD,14203031,Jonglei,Pibor,second projection,2026-04-01,2026-07-31,3,72699,0.3
